   Vs(kts)     Hi(m) sigf(kPa)  R_br(kN)  R_cl(kN)  R_bu(kN)   R_i(kN)
     3.00      2.30    600.00      18.2    1200.2    1197.6    2416.0
     3.00      2.40    600.00      19.2    1252.4    1249.6    2521.2
     3.00      2.50    600.00      20.2    1304.6    1301.7    2626.5
     3.00      2.60    600.00      21.2    1356.8    1353.8    2731.7
     3.00      2.70    600.00      22.2    1409.0    1405.8    2837.0
     3.00      2.80    600.00      23.2    1461.1    1457.9    2942.3
     3.00      2.90    600.00      24.3    1513.3    1510.0    3047.6
     3.00      3.00    600.00      25.3    1565.5    1562.0    3152.9
     3.00      1.00    650.00       6.9     521.8     520.7    1049.5
     3.00      1.10    650.00       7.8     574.0     572.7    1154.6
     3.00      1.20    650.00       8.7     626.2     624.8    1259.8
     3.00      1.30    650.00       9.6     678.4     676.9    1364.9
     3.00      1.40    650.00      10.6     730.6     729.0    1470.1
     3.00      1.50    650.00      11.5     782.8     781.0    1575.3
     3.00      1.60    650.00      12.5     834.9     833.1    1680.5
     3.00      1.70    650.00      13.5     887.1     885.2    1785.8
     3.00      1.80    650.00      14.5     939.3     937.2    1891.0
     3.00      1.90    650.00      15.5     991.5     989.3    1996.3
     3.00      2.00    650.00      16.5    1043.7    1041.4    2101.6
     3.00      2.10    650.00      17.6    1095.9    1093.4    2206.9
     3.00      2.20    650.00      18.6    1148.0    1145.5    2312.2
     3.00      2.30    650.00      19.7    1200.2    1197.6    2417.5
     3.00      2.40    650.00      20.8    1252.4    1249.6    2522.8
     3.00      2.50    650.00      21.8    1304.6    1301.7    2628.1
     3.00      2.60    650.00      22.9    1356.8    1353.8    2733.5
     3.00      2.70    650.00      24.0    1409.0    1405.8    2838.9
     3.00      2.80    650.00      25.2    1461.1    1457.9    2944.2
     3.00      2.90    650.00      26.3    1513.3    1510.0    3049.6
     3.00      3.00    650.00      27.4    1565.5    1562.0    3155.0
     3.00      1.00    700.00       7.5     521.8     520.7    1050.0
     3.00      1.10    700.00       8.4     574.0     572.7    1155.2
     3.00      1.20    700.00       9.4     626.2     624.8    1260.4
     3.00      1.30    700.00      10.4     678.4     676.9    1365.7
     3.00      1.40    700.00      11.4     730.6     729.0    1470.9
     3.00      1.50    700.00      12.4     782.8     781.0    1576.2
     3.00      1.60    700.00      13.5     834.9     833.1    1681.5
     3.00      1.70    700.00      14.5     887.1     885.2    1786.8
     3.00      1.80    700.00      15.6     939.3     937.2    1892.1
     3.00      1.90    700.00      16.7     991.5     989.3    1997.5
     3.00      2.00    700.00      17.8    1043.7    1041.4    2102.8
     3.00      2.10    700.00      18.9    1095.9    1093.4    2208.2
     3.00      2.20    700.00      20.0    1148.0    1145.5    2313.6
     3.00      2.30    700.00      21.2    1200.2    1197.6    2419.0
     3.00      2.40    700.00      22.4    1252.4    1249.6    2524.4
     3.00      2.50    700.00      23.5    1304.6    1301.7    2629.8
     3.00      2.60    700.00      24.7    1356.8    1353.8    2735.3
     3.00      2.70    700.00      25.9    1409.0    1405.8    2840.7
     3.00      2.80    700.00      27.1    1461.1    1457.9    2946.2
     3.00      2.90    700.00      28.3    1513.3    1510.0    3051.6
     3.00      3.00    700.00      29.5    1565.5    1562.0    3157.1
     3.00      1.00    750.00       8.0     521.8     520.7    1050.5
     3.00      1.10    750.00       9.0     574.0     572.7    1155.8
     3.00      1.20    750.00      10.1     626.2     624.8    1261.1
     3.00      1.30    750.00      11.1     678.4     676.9    1366.4
     3.00      1.40    750.00      12.2     730.6     729.0    1471.7
     3.00      1.50    750.00      13.3     782.8     781.0    1577.1
     3.00      1.60    750.00      14.4     834.9     833.1    1682.5
     3.00      1.70    750.00      15.6     887.1     885.2    1787.8
     3.00      1.80    750.00      16.7     939.3     937.2    1893.3
     3.00      1.90    750.00      17.9     991.5     989.3    1998.7
     3.00      2.00    750.00      19.1    1043.7    1041.4    2104.1
