     SPEED            =  1.000  Knots 
     BREADTH          =   19.000
     FRICTIONAL COEFF.=    0.500E-01
THE NUMBER OF FRAMES =  161
     X_COOR(I)        Y(I)    Z_COOR(I)    X_NORM(I)    Y_NORM(I)    Z_NORM(I)     ALPHA(I)      BETA(I)     GAMMA(I)
      21.5000       8.9230       6.0000      -0.0510       0.9370      -0.3470       3.0950      20.3030      81.6860
      21.0000       8.9040       6.0000      -0.0500       0.9190      -0.3910       3.0880      23.0710      82.7810
      20.5000       8.8780       6.0000      -0.0500       0.9180      -0.3940       3.0970      23.2420      82.8200
      20.0000       8.8530       6.0000      -0.0480       0.9150      -0.4010       2.9790      23.6400      83.2200
      19.5000       8.8270       6.0000      -0.0480       0.9150      -0.4010       2.9790      23.6400      83.2200
      19.0000       8.8010       6.0000      -0.0480       0.9130      -0.4040       2.9840      23.8660      83.2800
      18.5000       8.7730       6.0000      -0.0550       0.8800      -0.4720       3.5640      28.2300      83.3820
      18.0000       8.7410       6.0000      -0.0590       0.8790      -0.4720       3.8070      28.2360      82.9360
      17.5000       8.7090       6.0000      -0.0530       0.8760      -0.4800       3.4710      28.7370      83.6870
      17.0000       8.6780       6.0000      -0.0440       0.8740      -0.4850       2.8570      29.0210      84.8600
      16.5000       8.6480       6.0000      -0.0670       0.8440      -0.5330       4.5160      32.2560      82.8670
      16.0000       8.6110       6.0000      -0.0600       0.8420      -0.5370       4.1000      32.5340      83.5890
      15.5000       8.5760       6.0000      -0.0610       0.8410      -0.5380       4.1460      32.6120      83.5360
      15.0000       8.5410       6.0000      -0.0490       0.8440      -0.5340       3.3100      32.3430      84.7820
      14.5000       8.5010       6.0000      -0.0550       0.8150      -0.5770       3.8830      35.3220      84.5280
      14.0000       8.4620       6.0000      -0.0640       0.8170      -0.5730       4.4700      35.0610      83.6440
      13.5000       8.4270       6.0000      -0.0630       0.8040      -0.5910       4.4950      36.2910      83.8900
      13.0000       8.3890       6.0000      -0.0780       0.7710      -0.6320       5.7980      39.3470      82.9400
      12.5000       8.3430       6.0000      -0.0590       0.7750      -0.6290       4.3520      39.0890      84.6470
      12.0000       8.3060       6.0000      -0.0690       0.7560      -0.6510       5.1990      40.7630      83.9750
      11.5000       8.2600       6.0000      -0.0530       0.7680      -0.6380       3.9780      39.6930      85.2110
      11.0000       8.2180       6.0000      -0.0670       0.7490      -0.6590       5.1230      41.3340      84.1810
      10.5000       8.1750       6.0000      -0.0650       0.7490      -0.6600       4.9540      41.4010      84.3850
      10.0000       8.1300       6.0000      -0.0740       0.7130      -0.6970       5.9060      44.3380      83.9570
           1   31.36422       42.99200    
           2   31.36422       42.99200    
           3   29.53903       42.68100    
           4   29.45526       42.12400    
           5   29.45526       42.12400    
           6   27.92210       41.61000    
           7   27.92210       41.61000    
           8   26.24581       41.61000    
           9   26.80010       41.07401    
          10   24.48221       41.07401    
          11   24.48221       41.07401    
          12   22.73888       40.51500    
          13   22.65082       39.81600    
          14   22.65082       39.81600    
          15   20.73790       39.81700    
          16   20.73790       39.81700    
          17   21.51526       38.79100    
          18   19.01293       38.79100    
          19   19.01293       38.79100    
          20   17.32133       37.48800    
          21   17.32133       37.48800    
          22   17.32133       37.48800    
          23   15.80125       35.96700    
          24   15.80125       35.96700    
          25   15.80125       35.96700    
          26   14.69273       34.12100    
          27   14.69273       34.12100    
          28   14.05361       33.12100    
          29   13.97484       32.48800    
          30   12.70664       30.58100    
          31   12.78637       30.47700    
          32   13.11718       30.31700    
          33   11.44923       28.02600    
          34   10.93288       27.98800    
          35   11.21008       27.95900    
          36   9.364202       26.00200    
          37   9.973146       26.00200    
          38   7.900179       23.88400    
          39   7.810901       23.73600    
          40   8.927684       22.54000    
          41   8.927684       22.54000    
          42   7.331254       21.44700    
          43   7.473595       21.23300    
          44   6.465446       19.08900    
          45   5.779978       17.76000    
          46   6.115614       17.67500    
          47   4.465063       16.14900    
          48   4.672944       15.91400    
          49   3.900233       13.29800    
          50   2.334562       13.24800    
          51   3.382403       13.12700    
          52   4.038517       12.77300    
          53   1.872417       9.838000    
          54   3.648729       10.25900    
          55  0.0000000E+00   10.90400    
          56   1.949834       9.477001    
          57   2.230989       7.527000    
          58   1.802874       7.558001    
          59  0.0000000E+00   7.864000    
          60   1.949734       7.997000    
          61  0.6277614       7.261001    
          62  0.6277614       7.263000    
          63  0.6277614       7.220000    
          64  0.0000000E+00   6.346000    
          65   1.802983       6.633000    
          66   1.802983       6.633000    
          67   1.802983       6.633000    
          68   1.802983       6.633000    
          69   1.802983       6.633000    
          70   1.802983       6.633000    
          71   2.183461       6.626000    
          72   2.183461       6.626000    
          73   2.183461       6.626000    
          74   2.183461       6.582000    
          75   2.183461       6.582000    
          76   2.183461       6.582000    
          77   2.183461       6.582000    
          78  0.0000000E+00   6.534000    
          79  0.0000000E+00   6.534000    
          80  0.0000000E+00   6.534000    
          81   1.802983       6.658000    
          82   1.802983       6.658000    
          83   1.311793       6.696001    
          84   1.311793       6.696001    
          85   1.311793       6.696001    
          86   1.311793       6.696001    
          87   1.311793       6.696001    
          88   1.311793       6.696001    
          89   1.311793       6.696001    
          90   1.311793       6.696001    
          91   2.183461       6.614000    
          92   2.183461       6.589001    
          93   2.183461       6.589001    
          94   2.183461       6.589001    
          95   2.183461       6.589001    
          96   1.802983       6.633000    
          97   2.183461       6.589001    
          98   2.183461       6.589001    
          99  0.0000000E+00   6.527000    
         100  0.0000000E+00   6.498000    
         101  0.0000000E+00   6.498000    
         102  0.0000000E+00   6.498000    
         103  0.0000000E+00   6.516000    
         104  0.0000000E+00   6.516000    
         105   1.802983       6.689000    
         106   1.802983       6.678000    
         107   1.802983       6.678000    
         108   1.802983       6.678000    
         109   1.802983       6.678000    
         110   1.802983       6.678000    
         111  0.0000000E+00   7.781000    
         112  0.0000000E+00   7.781000    
         113  0.0000000E+00   9.017000    
         114  0.0000000E+00   9.290001    
         115   1.900428       9.137000    
         116   1.900428       9.137000    
         117   1.476445       10.82900    
         118  0.1398823       11.19600    
         119  0.1398823       11.19600    
         120  0.1398823       11.18400    
         121  0.1398823       11.20200    
         122  0.0000000E+00   11.23900    
         123   2.278986       11.35900    
         124  0.0000000E+00   12.63300    
         125   2.092841       11.94400    
         126   2.092841       11.94400    
         127   2.245592       12.45500    
         128   2.334562       13.24600    
         129   1.188280       17.03000    
         130   3.221242       16.53000    
         131   3.221242       16.53000    
         132  0.0000000E+00   16.94900    
         133   2.795403       19.33200    
         134   2.292003       19.87600    
         135   3.064457       18.24200    
         136   4.954245       19.30700    
         137   2.795403       19.33300    
         138   3.263808       20.30300    
         139   4.099019       23.07100    
         140   3.660409       23.24200    
         141   3.600652       23.64000    
         142   3.600652       23.64000    
         143   4.595635       23.86600    
         144   4.300882       28.23000    
         145   5.482764       28.23600    
         146   3.821928       28.73700    
         147   2.429627       29.02100    
         148   4.846301       32.25600    
         149   4.185492       32.53400    
         150   4.638274       32.61200    
         151   4.058785       32.34300    
         152   4.323727       35.32200    
         153   5.241833       35.06100    
         154   5.317140       36.29100    
         155   6.349836       39.34700    
         156   4.952900       39.08900    
         157   5.535270       40.76300    
         158   4.535873       39.69300    
         159   5.567888       41.33400    
         160   4.725344       41.40100    
         161   6.185610       44.33800    
      90.0000       0.0000
       2.5000       2.0000       1.5000       0.5000       0.0000
       5.7370       5.2080       4.6820       3.6780       3.4200
      42.6850      43.5590      43.5590      51.8080      83.4890
      85.0000       0.0000
       5.0000       4.5000       4.0000       3.5000       3.0000       2.5000       2.0000       1.5000       1.0000       0.5000
       5.7750       5.1990       4.6310       4.0730       3.5230       2.9680       2.4250       1.8830       1.3420       0.0000
      40.5150      40.9750      41.7740      42.2290      42.2290      42.6480      42.9890      43.1700      42.9020      90.0000
      80.0000       0.0000
       6.5000       6.0000       5.5000       5.0000       4.5000       4.0000       3.5000       3.0000       2.5000       2.0000       1.5000       1.0000       0.5000
       5.4730       4.8270       4.2170       3.6260       3.0680       2.5510       2.0520       1.5910       1.1510       0.0940       0.0000       0.0000       0.0000
      36.4750      39.0320      39.7710      40.8440      42.2630      44.7290      46.4170      48.3090      49.1030      41.7470      90.0000      90.0000      90.0000
      75.0000       0.0000
       8.0000       7.5000       7.0000       6.5000       6.0000       5.5000       5.0000       4.5000       4.0000       3.5000       3.0000       2.5000       2.0000       1.5000       1.0000       0.5000
       5.9170       5.0990       4.3570       3.6760       3.0620       2.5130       2.0020       1.5310       1.1030       0.7310       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000
      30.4770      31.9410      35.1160      37.5530      39.8350      43.6550      45.8020      48.6800      51.1830      54.8710      90.0000      90.0000      90.0000      90.0000      90.0000      90.0000
      70.0000       0.0000
       8.5000       8.0000       7.5000       7.0000       6.5000       6.0000       5.5000       5.0000       4.5000       4.0000       3.5000       3.0000       2.5000       2.0000       1.5000       1.0000       0.5000       0.0000
