     SPEED            =  2.000  Knots 
     BREADTH          =   50.000
     FRICTIONAL COEFF.=    0.500E-01
THE NUMBER OF FRAMES =  497
     X_COOR(I)        Y(I)    Z_COOR(I)    X_NORM(I)    Y_NORM(I)    Z_NORM(I)     ALPHA(I)      BETA(I)     GAMMA(I)
     193.0000      24.6890      22.0000       0.0670       0.9930      -0.0960       3.8630       5.5110      55.0180
     192.5000      24.7210      22.0000       0.0620       0.9940      -0.0890       3.5680       5.1270      55.1960
     192.0000      24.7510      22.0000       0.0570       0.9950      -0.0830       3.2910       4.7510      55.3210
     191.5000      24.7790      22.0000       0.0530       0.9960      -0.0760       3.0310       4.3840      55.3660
     191.0000      24.8040      22.0000       0.0490       0.9960      -0.0700       2.7890       4.0230      55.2960
     190.5000      24.8280      22.0000       0.0450       0.9970      -0.0640       2.5630       3.6660      55.0560
     190.0000      24.8490      22.0000       0.0410       0.9970      -0.0580       2.3600       3.3130      54.5510
     189.5000      24.8690      22.0000       0.0380       0.9980      -0.0520       2.1750       2.9650      53.7500
     189.0000      24.8870      22.0000       0.0350       0.9980      -0.0460       2.0080       2.6220      52.5610
     188.5000      24.9040      22.0000       0.0320       0.9990      -0.0400       1.8600       2.2850      50.8590
     188.0000      24.9200      22.0000       0.0300       0.9990      -0.0340       1.7290       1.9530      48.4700
     187.5000      24.9340      22.0000       0.0280       0.9990      -0.0280       1.6170       1.6260      45.1540
     187.0000      24.9480      22.0000       0.0270       0.9990      -0.0230       1.5230       1.3050      40.5880
     186.5000      24.9610      22.0000       0.0250       1.0000      -0.0170       1.4480       0.9900      34.3680
     186.0000      24.9730      22.0000       0.0240       1.0000      -0.0120       1.3900       0.6810      26.0940
     185.5000      24.9850      22.0000       0.0240       1.0000      -0.0070       1.3510       0.3770      15.6120
     185.0000      24.9970      22.0000       0.0230       1.0000      -0.0010       1.3290       0.0800       3.4380
     184.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     184.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     183.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     183.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     182.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     182.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     181.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     181.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     180.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     180.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     179.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     179.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     178.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     178.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     177.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     177.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     176.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     176.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     175.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     175.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     174.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     174.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     173.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     173.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     172.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     172.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     171.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     171.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     170.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     170.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     169.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     169.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     168.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     168.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     167.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     167.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     166.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     166.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     165.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     165.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     164.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     164.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     163.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     163.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     162.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     162.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     161.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     161.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     160.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     160.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     159.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     159.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     158.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     158.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     157.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     157.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     156.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     156.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     155.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     155.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     154.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     154.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     153.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     153.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     152.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     152.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     151.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     151.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     150.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     150.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     149.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     149.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     148.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     148.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     147.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     147.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     146.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     146.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     145.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     145.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     144.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     144.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     143.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     143.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     142.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     142.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     141.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     141.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     140.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     140.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     139.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     139.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     138.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     138.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     137.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     137.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     136.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     136.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     135.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     135.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     134.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     134.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     133.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     133.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     132.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     132.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     131.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     131.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     130.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     130.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     129.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     129.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     128.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     128.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     127.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     127.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     126.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     126.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     125.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     125.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     124.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     124.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     123.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     123.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     122.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     122.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     121.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     121.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     120.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     120.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     119.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     119.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     118.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     118.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     117.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     117.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     116.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     116.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     115.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     115.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     114.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     114.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     113.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     113.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     112.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     112.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     111.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     111.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     110.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     110.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     109.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     109.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     108.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     108.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     107.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     107.0000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
     106.5000      25.0000      22.0000       0.0000       1.0000       0.0000       0.0000       0.0000       0.0000
